brewery_id,type_id
19730,2
32541,2
32541,1
32541,0
44736,1
44736,3
23372,5
35328,1
35328,3
31561,1
31561,0
35975,2
35975,1
35975,3
35975,0
5618,2
5618,1
5618,3
30916,1
41278,1
41278,3
31711,1
31711,3
12324,1
49850,1
49850,0
16995,2
16995,1
16995,3
45715,5
45617,1
28685,2
47633,1
47633,3
31986,2
47464,1
47464,3
8590,2
8070,2
8070,3
26695,2
26695,1
26695,3
53919,2
53919,1
53919,3
17834,1
17834,3
17675,1
17675,3
28200,5
48475,2
48475,1
43654,2
43654,1
43654,0
31006,2
31006,1
31006,3
31006,0
1372,2
48996,1
48996,0
26506,1
18640,1
18640,3
18577,1
18577,3
41905,2
44530,1
34384,2
30224,3
40960,1
40960,0
50893,2
50893,1
36387,2
41466,2
41466,0
19754,1
16931,5
24037,5
41151,1
41151,3
13740,1
13740,3
17696,1
17696,3
37531,1
37531,3
29229,5
47829,5
34733,2
34733,1
34733,0
31719,1
31719,3
41058,2
36783,2
36783,1
36783,0
47306,5
7746,5
40392,2
40392,1
40392,0
39784,2
24133,2
40720,3
40720,0
43423,3
43423,0
4583,1
4583,3
24814,2
24814,1
30380,2
30380,1
5123,1
5123,3
12643,5
50362,1
50362,3
47026,5
19302,2
19302,1
19302,3
52263,2
52263,1
52263,0
9211,2
7965,1
28836,4
28836,0
33954,1
33954,3
18848,2
48511,2
48511,1
48511,3
17203,1
17203,3
24692,1
24692,3
24692,0
3045,2
3045,1
3045,3
28724,2
25329,2
25329,0
33078,2
33078,1
33078,3
17687,1
17687,3
30278,2
48446,1
48446,3
8847,5
35262,3
35262,0
18049,1
18049,3
18049,0
8352,5
19679,5
27133,2
23726,1
37936,1
37936,3
39369,1
39369,3
23135,3
23135,0
31538,1
31538,3
46545,2
46545,1
46545,3
26621,2
26621,1
26621,3
22642,1
22642,3
21440,5
52656,2
52656,1
52656,3
13782,5
24350,1
24350,3
31196,5
16134,5
15324,2
15324,1
15324,3
53059,2
53059,1
53059,0
37156,2
42063,5
1948,1
1948,3
1948,0
45410,1
45410,3
14703,5
31543,5
32066,2
52414,5
31293,2
31293,1
31293,3
31293,0
52032,1
52032,0
29495,1
29109,2
52854,2
52854,1
52854,3
52854,0
47775,5
21599,5
15689,1
15689,3
15689,0
23283,5
23870,1
23870,3
38914,1
38914,3
38914,0
53346,5
6200,2
11442,5
4047,2
4047,0
7937,1
41738,2
41738,1
41738,3
41738,0
34130,2
34130,1
34130,0
36953,5
511,2
54127,2
33425,1
33425,3
15031,1
15031,3
45474,2
33338,1
33338,3
33338,0
31499,1
31499,3
15660,5
28398,2
27658,1
27658,3
46383,2
6696,2
21483,1
21483,3
2843,5
29833,2
45237,2
45237,1
45237,0
17799,1
17799,3
32244,5
39396,2
39396,1
39396,3
37395,1
37395,3
49086,2
49086,1
49086,0
2553,2
2553,1
2553,3
18548,1
18548,3
33859,1
33859,3
4006,5
45110,2
45110,1
45110,3
45110,0
20653,5
17252,5
43427,2
43427,1
43427,3
43427,0
51014,2
51014,1
51014,3
3538,1
3538,3
9655,5
26212,1
26212,3
26212,0
24247,2
51993,1
51993,3
19698,1
19698,3
19562,1
19562,3
13892,2
37960,1
37960,3
32851,1
24826,2
32958,5
13793,4
47101,1
47101,3
47101,0
35402,2
3870,2
3870,1
3870,3
3870,0
12563,1
12563,3
51277,2
51277,0
32758,2
32758,1
32758,3
32758,0
17951,1
24011,1
46186,2
46186,1
26387,1
26387,3
41965,2
41965,1
41965,0
25499,5
16454,2
16454,1
16454,3
46905,1
46905,3
53775,2
17279,2
17279,1
17279,0
13705,1
18402,5
29717,2
29717,1
29717,0
38614,2
38614,1
50445,5
8345,1
8345,3
1492,2
1492,1
1492,3
16301,2
16301,3
1501,2
2605,1
