loc_id,country,state,city
0,US                              ,TX      ,Waller                                                          
1,CA                              ,QC      ,Orford                                                          
2,US                              ,MI      ,Higgins Lake                                                    
3,GB                              ,GB6     ,Laurencekirk                                                    
4,ES                              ,NULL    ,Yunquera de Henares                                             
5,US                              ,IL      ,Beecher                                                         
6,BE                              ,NULL    ,Aywaille                                                        
7,US                              ,MS      ,Madison                                                         
8,US                              ,CO      ,Basalt                                                          
9,BE                              ,NULL    ,Herselt                                                         
10,US                              ,TX      ,Spring Valley                                                   
11,FR                              ,NULL    ,Argeles Sur Mer                                                 
12,US                              ,MD      ,Beltsville                                                      
13,DE                              ,NULL    ,Leimen                                                          
14,KZ                              ,NULL    ,Astana                                                          
15,US                              ,MN      ,New London                                                      
16,IT                              ,NULL    ,Venezia (VE)                                                    
17,US                              ,ME      ,Houlton                                                         
18,CA                              ,QC      ,Clermont                                                        
19,US                              ,CA      ,St. Helena                                                      
20,AF                              ,NULL    ,Kabul                                                           
21,US                              ,NC      ,Raleigh                                                         
22,IT                              ,NULL    ,Desenzano Del Garda (BS)                                        
23,US                              ,AL      ,Orange Beach                                                    
24,TH                              ,NULL    ,Pathumthani                                                     
25,KY                              ,NULL    ,NULL                                                            
26,US                              ,NC      ,Canton                                                          
27,CY                              ,NULL    ,Lemesos                                                         
28,US                              ,IL      ,Richmond                                                        
29,US                              ,NJ      ,Gladstone                                                       
30,US                              ,HI      ,Kamuela                                                         
31,ES                              ,NULL    ,Ronda                                                           
32,FR                              ,NULL    ,Annecy                                                          
33,US                              ,CA      ,Martinez                                                        
34,US                              ,IN      ,Granger                                                         
35,US                              ,NJ      ,Ramsey                                                          
36,IT                              ,NULL    ,Milano                                                          
37,GB                              ,GB2     ,Bewdley                                                         
38,DE                              ,NULL    ,Gräfenberg                                                     
39,US                              ,NY      ,Castleton-on-Hudson                                             
40,US                              ,TN      ,East Ridge                                                      
41,US                              ,KS      ,Hiawatha                                                        
42,US                              ,UT      ,Park City                                                       
43,DE                              ,NULL    ,Hameln                                                          
44,US                              ,FL      ,Miami                                                           
45,FR                              ,NULL    ,Chambéry                                                       
46,US                              ,IN      ,Schererville                                                    
